,dtype
yr_mfr,int64
kms_run,int64
times_viewed,int64
assured_buy,bool
is_hot,bool
total_owners,int64
fitness_certificate,float64
reserved,bool
warranty_avail,bool
car_age,float64
km_per_year,float64
is_old_car,float64
high_mileage,float64
car_name,str
fuel_type,str
city,str
body_type,str
transmission,str
variant,str
registered_city,str
registered_state,str
rto,str
source,str
make,str
model,str
car_availability,str
car_rating,str
brand,object
make_model,str
make_body_type,str
fuel_transmission,str
sale_price,float64
